0,1,2,3
-1.4739368,1.203658,-1.5625348,-1.3126028
-0.1330708,2.9923759,-1.2760063,-1.0456327
1.0858983,0.08570939,0.3858582,0.28921756
-1.230143,0.75647855,-1.2187006,-1.3126028
-1.7177306,0.3092991,-1.3906177,-1.3126028
0.59831065,-1.255829,0.7296923,0.95664275
0.7202076,0.3092991,0.4431639,0.4227026
-0.7425553,0.98006827,-1.2760063,-1.3126028
-0.98634917,1.203658,-1.333312,-1.3126028
-0.7425553,2.3216066,-1.2760063,-1.4460878
-0.011173883,-0.8086495,0.7869979,0.95664275
0.23261994,0.75647855,0.4431639,0.5561876
1.0858983,0.08570939,0.55777526,0.4227026
-0.4987615,1.8744272,-1.3906177,-1.0456327
-0.4987615,1.4272478,-1.2760063,-1.3126028
-0.3768646,-1.4794186,-0.015281513,-0.24472256
0.59831065,-0.58505976,0.7869979,0.4227026
0.7202076,0.08570939,1.0162207,0.8231577
0.96400136,-0.13788033,0.3858582,0.28921756
1.6953828,1.203658,1.3600547,1.757553
-0.1330708,-0.36147004,0.27124685,0.15573254
2.1829705,-0.13788033,1.6465831,1.2236128
-0.2549677,-0.13788033,0.4431639,0.4227026
-0.86445224,0.98006827,-1.333312,-1.3126028
2.3048673,-0.58505976,1.7038888,1.0901277
-0.011173883,-0.8086495,0.21394119,-0.24472256
-0.7425553,0.75647855,-1.333312,-1.3126028
-0.98634917,0.98006827,-1.3906177,-1.1791178
-0.86445224,1.6508374,-1.0467837,-1.0456327
-0.98634917,-2.3737776,-0.12989287,-0.24472256
0.59831065,-0.8086495,0.6723866,0.8231577
-1.230143,0.75647855,-1.0467837,-1.3126028
-0.98634917,-0.13788033,-1.2187006,-1.3126028
-0.86445224,0.5328888,-1.1613951,-0.9121477
-0.2549677,-0.8086495,0.27124685,0.15573254
-0.86445224,0.75647855,-1.2760063,-1.3126028
-0.1330708,-0.13788033,0.27124685,0.022247504
2.3048673,1.6508374,1.7038888,1.3570979
-1.4739368,0.3092991,-1.333312,-1.3126028
0.47641376,-0.36147004,0.32855254,0.15573254
-0.1330708,-1.255829,0.7296923,1.0901277
-0.3768646,2.5451963,-1.333312,-1.3126028
0.23261994,-0.13788033,0.6150809,0.8231577
-0.011173883,-0.8086495,0.7869979,0.95664275
0.23261994,-1.9265981,0.15663551,-0.24472256
-0.4987615,-0.13788033,0.4431639,0.4227026
0.47641376,0.75647855,0.958915,1.4905828
-0.3768646,-1.7030084,0.15663551,0.15573254
-0.4987615,1.8744272,-1.1613951,-1.0456327
-0.98634917,-1.7030084,-0.24450421,-0.24472256
0.7202076,-0.8086495,0.9016093,0.95664275
-0.98634917,0.5328888,-1.333312,-1.3126028
-0.98634917,0.3092991,-1.4479234,-1.3126028
-0.3768646,-1.4794186,0.04202416,-0.111237526
1.0858983,-0.13788033,0.7296923,0.68967265
-1.1082461,0.08570939,-1.2760063,-1.3126028
-0.011173883,-0.58505976,0.7869979,1.6240679
-0.98634917,0.75647855,-1.2760063,-1.3126028
-0.98634917,0.98006827,-1.2187006,-0.7786627
0.110723026,0.3092991,0.6150809,0.8231577
-0.86445224,-1.255829,-0.41642123,-0.111237526
1.3296921,0.3092991,1.130832,1.4905828
0.23261994,-0.8086495,0.7869979,0.5561876
0.35451683,-1.0322392,1.0735263,0.28921756
2.3048673,-0.13788033,1.3600547,1.4905828
-0.3768646,-1.255829,0.15663551,0.15573254
-1.7177306,-0.36147004,-1.333312,-1.3126028
-1.8396275,-0.13788033,-1.5052291,-1.4460878
0.23261994,-1.9265981,0.7296923,0.4227026
1.6953828,0.3092991,1.302749,0.8231577
-1.4739368,0.08570939,-1.2760063,-1.3126028
-0.86445224,0.98006827,-1.333312,-1.1791178
-1.7177306,-0.13788033,-1.3906177,-1.3126028
0.59831065,-1.255829,0.6723866,0.4227026
0.59831065,0.75647855,1.0735263,1.6240679
-1.4739368,0.75647855,-1.333312,-1.1791178
1.2077953,-0.13788033,1.0162207,1.2236128
0.59831065,0.5328888,1.302749,1.757553
-1.3520399,0.3092991,-1.3906177,-1.3126028
0.35451683,-0.36147004,0.55777526,0.28921756
0.8421045,-0.58505976,0.50046957,0.4227026
0.47641376,-0.58505976,0.6150809,0.8231577
1.451589,0.3092991,0.55777526,0.28921756
0.7202076,0.3092991,0.9016093,1.4905828
-0.86445224,1.6508374,-1.2187006,-1.3126028
1.3296921,0.08570939,0.958915,1.2236128
0.110723026,-0.13788033,0.27124685,0.4227026
0.8421045,-0.13788033,0.8443036,1.0901277
-0.1330708,-1.0322392,-0.12989287,-0.24472256
-0.7425553,-0.8086495,0.09932984,0.28921756
0.35451683,-0.13788033,0.50046957,0.28921756
-1.5958337,-1.7030084,-1.3906177,-1.1791178
0.96400136,-0.36147004,0.50046957,0.15573254
-0.3768646,-1.0322392,0.3858582,0.022247504
-0.6206584,1.4272478,-1.2760063,-1.3126028
-0.2549677,-0.13788033,0.21394119,0.15573254
1.8172797,-0.36147004,1.474666,0.8231577
1.0858983,0.5328888,1.130832,1.2236128
-0.86445224,1.4272478,-1.2760063,-1.0456327
-1.1082461,-1.4794186,-0.24450421,-0.24472256
1.0858983,0.5328888,1.130832,1.757553
1.6953828,-0.13788033,1.1881377,0.5561876
-1.1082461,1.203658,-1.333312,-1.4460878
1.0858983,0.08570939,1.0735263,1.6240679
-1.1082461,-0.13788033,-1.333312,-1.3126028
1.3296921,0.08570939,0.6723866,0.4227026
1.9391767,-0.58505976,1.3600547,0.95664275
0.59831065,-0.36147004,1.0735263,0.8231577
-0.1330708,-0.58505976,0.21394119,0.15573254
0.8421045,-0.13788033,1.0162207,0.8231577
0.59831065,-1.7030084,0.3858582,0.15573254
0.7202076,-0.36147004,0.32855254,0.15573254
-0.2549677,-0.58505976,0.6723866,1.0901277
0.110723026,-0.13788033,0.7869979,0.8231577
-0.4987615,0.75647855,-1.1613951,-1.3126028
0.35451683,-0.58505976,0.15663551,0.15573254
-1.1082461,-1.255829,0.4431639,0.68967265
-0.011173883,2.098017,-1.4479234,-1.3126028
-0.011173883,-1.0322392,0.15663551,0.022247504
1.573486,-0.13788033,1.2454433,1.2236128
